,cosmic_id,assay_name
909774,909774,5500994172948120113978_D09
906813,906813,5500994157493061613625_D10
946373,946373,5500994158987071513209_D10
924151,924151,5500994172383112813929_D10
906872,906872,5500994158987071513202_D10
1247871,1247871,5500994158987071513207_D10
1327766,1327766,5500994172383112813928_D10
1298534,1298534,5500994158987071513201_D10
1331039,1331039,5500994172948120113978_D10
946359,946359,5500994157493061613625_D11
905935,905935,5500994158987071513209_D11
1290908,1290908,5500994172383112813929_D11
905959,905959,5500994158987071513207_D11
909249,909249,5500994158987071513201_D11
905979,905979,5500994172383112813930_D11
909718,909718,5500994172948120113978_D11
909707,909707,5500994157493061613625_D12
1240143,1240143,5500994172383112813929_D12
910906,910906,5500994158987071513207_D12
910779,910779,5500994172383112813928_D12
1240200,1240200,5500994158987071513201_D12
910701,910701,5500994172383112813930_D12
1674021,1674021,5500994173212120213068_E01
910399,910399,5500994157493061613625_E01
910922,910922,5500994158987071513209_E01
906847,906847,5500994172383112813929_E01
908141,908141,5500994158987071513207_E01
713880,713880,5500994172383112813928_E01
909263,909263,5500994158987071513201_E01
687802,687802,5500994172383112813930_E01
1297447,1297447,5500994172948120113978_E01
688086,688086,5500994173212120213068_E02
687816,687816,5500994157493061613625_E02
910934,910934,5500994158987071513209_E02
905948,905948,5500994172383112813929_E02
907313,907313,5500994158987071513202_E02
908136,908136,5500994158987071513207_E02
905965,905965,5500994172383112813928_E02
910931,910931,5500994158987071513201_E02
1298356,1298356,5500994172383112813930_E02
1240124,1240124,5500994172948120113978_E02
907794,907794,5500994157493061613625_E03
906765,906765,5500994158987071513209_E03
753533,753533,5500994172383112813929_E03
1298168,1298168,5500994158987071513202_E03
753615,753615,5500994158987071513207_E03
909729,909729,5500994172383112813928_E03
909700,909700,5500994158987071513201_E03
908443,908443,5500994172383112813930_E03
1480359,1480359,5500994172948120113978_E03
1524414,1524414,5500994173212120213068_E04
909698,909698,5500994157493061613625_E04
910698,910698,5500994158987071513209_E04
905952,905952,5500994172383112813929_E04
753570,753570,5500994158987071513202_E04
1331048,1331048,5500994158987071513207_E04
930298,930298,5500994172383112813928_E04
910545,910545,5500994158987071513201_E04
688025,688025,5500994172383112813930_E04
949090,949090,5500994172948120113978_E04
907275,907275,5500994173212120213068_E05
910903,910903,5500994157493061613625_E05
910710,910710,5500994158987071513209_E05
753549,753549,5500994172383112813929_E05
713899,713899,5500994158987071513202_E05
1299080,1299080,5500994158987071513207_E05
753569,753569,5500994172383112813928_E05
1240202,1240202,5500994158987071513201_E05
724825,724825,5500994172383112813930_E05
910567,910567,5500994173212120213068_E06
910952,910952,5500994157493061613625_E06
724859,724859,5500994158987071513209_E06
949161,949161,5500994172383112813929_E06
907795,907795,5500994158987071513202_E06
905981,905981,5500994158987071513207_E06
1240208,1240208,5500994158987071513201_E06
908159,908159,5500994172383112813930_E06
1240182,1240182,5500994172948120113978_E06
905934,905934,5500994173212120213068_E07
909784,909784,5500994157493061613625_E07
687505,687505,5500994158987071513209_E07
1503370,1503370,5500994172383112813929_E07
1240170,1240170,5500994158987071513202_E07
946354,946354,5500994158987071513207_E07
907042,907042,5500994172383112813928_E07
687997,687997,5500994158987071513201_E07
908448,908448,5500994172383112813930_E07
1298146,1298146,5500994172948120113978_E07
1330973,1330973,5500994173212120213068_E08
724873,724873,5500994157493061613625_E08
906814,906814,5500994158987071513209_E08
907069,907069,5500994172383112813929_E08
1299064,1299064,5500994158987071513207_E08
907287,907287,5500994172383112813928_E08
908472,908472,5500994158987071513201_E08
949177,949177,5500994172383112813930_E08
749710,749710,5500994172948120113978_E08
1240220,1240220,5500994173212120213068_E09
684055,684055,5500994157493061613625_E09
687780,687780,5500994158987071513209_E09
749711,749711,5500994172383112813929_E09
906865,906865,5500994158987071513202_E09
1331038,1331038,5500994158987071513207_E09
753612,753612,5500994172383112813928_E09
910900,910900,5500994158987071513201_E09
905933,905933,5500994172383112813930_E09
908144,908144,5500994172948120113978_E09
906833,906833,5500994158987071513209_E10
749715,749715,5500994172383112813929_E10
906877,906877,5500994158987071513202_E10
909725,909725,5500994158987071513207_E10
907268,907268,5500994172383112813928_E10
1298539,1298539,5500994158987071513201_E10
688006,688006,5500994172383112813930_E10
1480361,1480361,5500994172948120113978_E10
906834,906834,5500994157493061613625_E11
906843,906843,5500994158987071513209_E11
1240151,1240151,5500994172383112813929_E11
908147,908147,5500994158987071513202_E11
909755,909755,5500994158987071513207_E11
1240159,1240159,5500994172383112813928_E11
1240196,1240196,5500994158987071513201_E11
909746,909746,5500994172383112813930_E11
1290724,1290724,5500994172948120113978_E11
1240128,1240128,5500994158987071513209_E12
749709,749709,5500994172383112813929_E12
908128,908128,5500994158987071513202_E12
724812,724812,5500994158987071513207_E12
1240155,1240155,5500994172383112813928_E12
910546,910546,5500994158987071513201_E12
909740,909740,5500994172383112813930_E12
1331036,1331036,5500994173212120213068_F01
906798,906798,5500994157493061613625_F01
906795,906795,5500994158987071513209_F01
753556,753556,5500994172383112813929_F01
753576,753576,5500994158987071513202_F01
908151,908151,5500994158987071513207_F01
910911,910911,5500994172383112813928_F01
1298352,1298352,5500994172383112813930_F01
1298347,1298347,5500994172948120113978_F01
724828,724828,5500994173212120213068_F02
910079,910079,5500994157493061613625_F02
910925,910925,5500994158987071513209_F02
906794,906794,5500994172383112813929_F02
1330933,1330933,5500994158987071513202_F02
905946,905946,5500994158987071513207_F02
1299070,1299070,5500994172383112813928_F02
909697,909697,5500994158987071513201_F02
